[2025-05-14T15:58:19.636+0800][0.052s][901][902][debug] Minimum heap 4110417920  Initial heap 4110417920  Maximum heap 4110417920
[2025-05-14T15:58:19.637+0800][0.053s][901][902][info ] Using G1
[2025-05-14T15:58:19.637+0800][0.053s][901][902][trace] Trying to allocate at address 0x000000070b000000 heap of size 0xf5000000
[2025-05-14T15:58:19.637+0800][0.053s][901][902][debug] Heap address: 0x000000070b000000, size: 3920 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[2025-05-14T15:58:19.638+0800][0.053s][901][902][debug] Expand the heap. requested expansion amount: 4110417920B expansion amount: 4110417920B
[2025-05-14T15:58:19.638+0800][0.054s][901][902][debug] Running G1 PreTouch with 12 workers for 980 work units pre-touching 4110417920B.
[2025-05-14T15:58:20.604+0800][1.020s][901][902][debug] Running G1 PreTouch with 12 workers for 16 work units pre-touching 64225280B.
[2025-05-14T15:58:20.619+0800][1.034s][901][902][debug] Running G1 PreTouch with 12 workers for 16 work units pre-touching 64225280B.
[2025-05-14T15:58:20.636+0800][1.051s][901][902][debug] Running G1 PreTouch with 2 workers for 2 work units pre-touching 8028160B.
[2025-05-14T15:58:20.642+0800][1.058s][901][902][debug] Running G1 PreTouch with 2 workers for 2 work units pre-touching 8028160B.
[2025-05-14T15:58:20.646+0800][1.061s][901][902][debug] Running G1 PreTouch with 2 workers for 2 work units pre-touching 8028160B.
[2025-05-14T15:58:20.650+0800][1.065s][901][902][debug] Activate regions [0, 245)
[2025-05-14T15:58:20.661+0800][1.076s][901][902][debug] Clearing root 2094: was 0x00000007fef55ad8
[2025-05-14T15:58:20.661+0800][1.076s][901][902][debug] Clearing root 2095: was 0x00000007fef5b020
[2025-05-14T15:58:20.661+0800][1.076s][901][902][debug] Clearing root 2096: was 0x00000007fef55718
[2025-05-14T15:58:20.661+0800][1.077s][901][902][debug] Clearing root 2097: was 0x00000007fef59930
[2025-05-14T15:58:20.661+0800][1.077s][901][902][debug] Clearing root 2098: was 0x00000007fef5c780
[2025-05-14T15:58:20.661+0800][1.077s][901][902][debug] Clearing root 2099: was 0x00000007fef5af18
[2025-05-14T15:58:20.661+0800][1.077s][901][902][debug] Clearing root 2100: was 0x00000007fef5ab98
[2025-05-14T15:58:20.662+0800][1.077s][901][902][debug] Clearing root 2101: was 0x00000007fef60ea8
[2025-05-14T15:58:20.662+0800][1.077s][901][902][debug] Clearing root 2102: was 0x00000007fef629b8
[2025-05-14T15:58:20.662+0800][1.077s][901][902][debug] Clearing root 2103: was 0x00000007fef61710
[2025-05-14T15:58:20.662+0800][1.077s][901][902][debug] Clearing root 2104: was 0x00000007fef65730
[2025-05-14T15:58:20.662+0800][1.077s][901][902][debug] Clearing root 2105: was 0x00000007fef659b8
[2025-05-14T15:58:20.662+0800][1.078s][901][902][debug] Clearing root 2106: was 0x00000007fef5ae10
[2025-05-14T15:58:20.662+0800][1.078s][901][902][debug] Clearing root 2107: was 0x00000007fef5ca18
[2025-05-14T15:58:20.662+0800][1.078s][901][902][debug] Clearing root 2108: was 0x00000007fef5cdf8
[2025-05-14T15:58:20.662+0800][1.078s][901][902][debug] Clearing root 2109: was 0x00000007fef63528
[2025-05-14T15:58:20.662+0800][1.078s][901][902][debug] Clearing root 2110: was 0x00000007fef5cfc0
[2025-05-14T15:58:20.663+0800][1.078s][901][902][debug] Clearing root 2111: was 0x00000007fef5ef30
[2025-05-14T15:58:20.663+0800][1.078s][901][902][debug] Clearing root 2112: was 0x00000007fef594b0
[2025-05-14T15:58:20.663+0800][1.078s][901][902][debug] Clearing root 2113: was 0x00000007fef559f0
[2025-05-14T15:58:20.663+0800][1.078s][901][902][debug] Clearing root 2114: was 0x00000007fef5c050
[2025-05-14T15:58:20.663+0800][1.078s][901][902][debug] Clearing root 2115: was 0x00000007fef611f0
[2025-05-14T15:58:20.663+0800][1.079s][901][902][debug] Clearing root 2116: was 0x00000007fef63800
[2025-05-14T15:58:20.663+0800][1.079s][901][902][debug] Clearing root 2117: was 0x00000007fef58f60
[2025-05-14T15:58:20.663+0800][1.079s][901][902][debug] Clearing root 2118: was 0x00000007fef63340
[2025-05-14T15:58:20.663+0800][1.079s][901][902][debug] Clearing root 2119: was 0x00000007fef5b3e0
[2025-05-14T15:58:20.663+0800][1.079s][901][902][debug] Clearing root 2120: was 0x00000007fef63dc8
[2025-05-14T15:58:20.664+0800][1.079s][901][902][debug] Clearing root 2121: was 0x00000007fef63ad8
[2025-05-14T15:58:20.664+0800][1.079s][901][902][debug] Clearing root 2122: was 0x00000007fef66630
[2025-05-14T15:58:20.664+0800][1.079s][901][902][debug] Clearing root 2123: was 0x00000007fef5c3b8
[2025-05-14T15:58:20.664+0800][1.079s][901][902][debug] Clearing root 2124: was 0x00000007fef612f8
[2025-05-14T15:58:20.664+0800][1.079s][901][902][debug] Clearing root 2125: was 0x00000007fef62368
[2025-05-14T15:58:20.664+0800][1.080s][901][902][debug] Clearing root 2126: was 0x00000007fef5b788
[2025-05-14T15:58:20.664+0800][1.080s][901][902][debug] Clearing root 2127: was 0x00000007fef59828
[2025-05-14T15:58:20.664+0800][1.080s][901][902][debug] Clearing root 2128: was 0x00000007fef5b298
[2025-05-14T15:58:20.664+0800][1.080s][901][902][debug] Clearing root 2129: was 0x00000007fef627e0
[2025-05-14T15:58:20.664+0800][1.080s][901][902][debug] Clearing root 2130: was 0x00000007fef675a0
[2025-05-14T15:58:20.665+0800][1.080s][901][902][debug] Clearing root 2131: was 0x00000007fef67ac8
[2025-05-14T15:58:20.665+0800][1.080s][901][902][debug] Clearing root 2132: was 0x00000007fef63bc0
[2025-05-14T15:58:20.665+0800][1.080s][901][902][debug] Clearing root 2133: was 0x00000007fef66d00
[2025-05-14T15:58:20.665+0800][1.080s][901][902][debug] Clearing root 2134: was 0x00000007fef670d0
[2025-05-14T15:58:20.665+0800][1.081s][901][902][debug] Clearing root 2135: was 0x00000007fef66a98
[2025-05-14T15:58:20.665+0800][1.081s][901][902][debug] Clearing root 2136: was 0x00000007fef66f08
[2025-05-14T15:58:20.665+0800][1.081s][901][902][debug] Clearing root 2137: was 0x00000007fef60990
[2025-05-14T15:58:20.665+0800][1.081s][901][902][debug] Clearing root 2138: was 0x00000007fef5eb50
[2025-05-14T15:58:20.665+0800][1.081s][901][902][debug] Clearing root 2139: was 0x00000007fef56060
[2025-05-14T15:58:20.666+0800][1.081s][901][902][debug] Clearing root 2140: was 0x00000007fef5a458
[2025-05-14T15:58:20.666+0800][1.081s][901][902][debug] Clearing root 2141: was 0x00000007fef5a750
[2025-05-14T15:58:20.666+0800][1.081s][901][902][debug] Clearing root 2142: was 0x00000007fef620f0
[2025-05-14T15:58:20.666+0800][1.081s][901][902][debug] Clearing root 2143: was 0x00000007fef5a858
[2025-05-14T15:58:20.666+0800][1.082s][901][902][debug] Clearing root 2144: was 0x00000007fef61d48
[2025-05-14T15:58:20.666+0800][1.082s][901][902][debug] Clearing root 2145: was 0x00000007fef5ccb0
[2025-05-14T15:58:20.666+0800][1.082s][901][902][debug] Clearing root 2146: was 0x00000007fef67398
[2025-05-14T15:58:20.666+0800][1.082s][901][902][debug] Clearing root 2147: was 0x00000007fef5aa90
[2025-05-14T15:58:20.667+0800][1.082s][901][902][debug] Clearing root 2148: was 0x00000007fef59368
[2025-05-14T15:58:20.667+0800][1.082s][901][902][debug] Clearing root 2149: was 0x00000007fef5ec58
[2025-05-14T15:58:20.667+0800][1.082s][901][902][debug] Clearing root 2150: was 0x00000007fef5e428
[2025-05-14T15:58:20.667+0800][1.082s][901][902][debug] Clearing root 2151: was 0x00000007fef5e660
[2025-05-14T15:58:20.667+0800][1.082s][901][902][debug] Clearing root 2152: was 0x00000007fef5f138
[2025-05-14T15:58:20.667+0800][1.083s][901][902][debug] Clearing root 2153: was 0x00000007fef5e918
[2025-05-14T15:58:20.667+0800][1.083s][901][902][debug] Clearing root 2154: was 0x00000007fef5a648
[2025-05-14T15:58:20.667+0800][1.083s][901][902][debug] Clearing root 2155: was 0x00000007fef5a540
[2025-05-14T15:58:20.668+0800][1.083s][901][902][debug] Clearing root 18: was 0x00000007fef00938
[2025-05-14T15:58:20.668+0800][1.083s][901][902][debug] Clearing root 97: was 0x00000007fef02a08
[2025-05-14T15:58:20.668+0800][1.083s][901][902][debug] Clearing root 26: was 0x00000007fef00d58
[2025-05-14T15:58:20.668+0800][1.083s][901][902][debug] Clearing root 375: was 0x00000007fef0a9c0
[2025-05-14T15:58:20.668+0800][1.084s][901][902][debug] Clearing root 365: was 0x00000007fef0a530
[2025-05-14T15:58:20.668+0800][1.084s][901][902][debug] Clearing root 20: was 0x00000007fef009f0
[2025-05-14T15:58:20.668+0800][1.084s][901][902][debug] Clearing root 17: was 0x00000007fef008c8
[2025-05-14T15:58:20.669+0800][1.084s][901][902][trace] Restored java.lang.Object archived mirror 0x00000007fef008c8
[2025-05-14T15:58:20.669+0800][1.084s][901][902][debug] Clearing root 245: was 0x00000007fef06a90
[2025-05-14T15:58:20.669+0800][1.084s][901][902][trace] Restored [Ljava.lang.Object; archived mirror 0x00000007fef06a90
[2025-05-14T15:58:20.669+0800][1.084s][901][902][debug] Clearing root 1530: was 0x00000007fef2a910
[2025-05-14T15:58:20.669+0800][1.084s][901][902][trace] Restored [[Ljava.lang.Object; archived mirror 0x00000007fef2a910
[2025-05-14T15:58:20.669+0800][1.085s][901][902][debug] Clearing root 119: was 0x00000007fef03378
[2025-05-14T15:58:20.669+0800][1.085s][901][902][trace] Restored java.io.Serializable archived mirror 0x00000007fef03378
[2025-05-14T15:58:20.669+0800][1.085s][901][902][debug] Clearing root 743: was 0x00000007fef146d8
[2025-05-14T15:58:20.669+0800][1.085s][901][902][trace] Restored [Ljava.io.Serializable; archived mirror 0x00000007fef146d8
[2025-05-14T15:58:20.670+0800][1.085s][901][902][debug] Clearing root 314: was 0x00000007fef08e30
[2025-05-14T15:58:20.670+0800][1.085s][901][902][trace] Restored java.lang.Comparable archived mirror 0x00000007fef08e30
[2025-05-14T15:58:20.670+0800][1.085s][901][902][debug] Clearing root 747: was 0x00000007fef14898
[2025-05-14T15:58:20.670+0800][1.085s][901][902][trace] Restored [Ljava.lang.Comparable; archived mirror 0x00000007fef14898
[2025-05-14T15:58:20.670+0800][1.085s][901][902][debug] Clearing root 96: was 0x00000007fef02998
[2025-05-14T15:58:20.670+0800][1.086s][901][902][trace] Restored java.lang.CharSequence archived mirror 0x00000007fef02998
[2025-05-14T15:58:20.670+0800][1.086s][901][902][debug] Clearing root 317: was 0x00000007fef08f80
